x,y,w,h,frame,code
660,0,1279,719,229,1
143,0,713,719,229,2
654,0,1275,719,230,1
140,0,716,719,230,2
633,0,1259,719,231,1
118,15,676,719,231,2
623,0,1252,719,232,1
120,4,682,719,232,2
619,0,1250,719,233,1
122,0,684,719,233,2
617,0,1247,719,234,1
114,20,659,719,234,2
616,0,1250,719,235,1
110,25,651,719,235,2
615,0,1251,719,236,1
109,29,645,719,236,2
616,0,1254,719,237,1
111,33,641,719,237,2
621,0,1260,719,238,1
101,24,648,719,238,2
622,0,1262,719,239,1
99,24,649,719,239,2
619,0,1259,719,240,1
95,20,652,719,240,2
619,0,1256,719,241,1
99,18,654,719,241,2
620,0,1255,719,242,1
92,6,655,719,242,2
619,0,1255,719,243,1
89,0,652,719,243,2
617,0,1255,719,244,1
92,0,650,719,244,2
618,0,1259,719,245,1
98,0,647,719,245,2
617,0,1261,719,246,1
105,1,643,719,246,2
617,0,1262,719,247,1
112,5,642,719,247,2
615,0,1264,719,248,1
117,12,637,719,248,2
616,0,1265,719,249,1
125,19,634,719,249,2
614,0,1264,719,250,1
124,13,634,719,250,2
613,0,1264,719,251,1
126,13,631,719,251,2
615,0,1264,719,252,1
131,17,629,719,252,2
617,0,1266,719,253,1
136,23,627,719,253,2
618,0,1267,719,254,1
139,26,626,719,254,2
617,0,1267,719,255,1
141,32,624,719,255,2
615,0,1265,719,256,1
151,23,650,719,256,2
619,0,1269,719,257,1
154,13,661,719,257,2
618,0,1270,719,258,1
156,17,661,719,258,2
617,0,1270,719,259,1
160,26,661,719,259,2
618,0,1269,719,260,1
154,23,661,719,260,2
619,0,1269,719,261,1
153,27,658,719,261,2
618,0,1268,719,262,1
148,25,660,719,262,2
618,0,1267,719,263,1
135,32,642,719,263,2
621,0,1269,719,264,1
131,37,633,719,264,2
623,0,1271,719,265,1
137,20,659,719,265,2
622,0,1269,719,266,1
142,21,662,719,266,2
620,0,1267,719,267,1
134,25,648,719,267,2
620,0,1270,719,268,1
138,18,660,719,268,2
618,0,1268,719,269,1
132,25,644,719,269,2
620,0,1268,719,270,1
140,22,657,719,270,2
621,0,1269,719,271,1
147,24,662,719,271,2
621,0,1270,719,272,1
146,22,666,719,272,2
621,0,1270,719,273,1
144,16,672,719,273,2
622,0,1270,719,274,1
145,17,672,719,274,2
622,0,1270,719,275,1
146,18,672,719,275,2
623,0,1269,719,276,1
146,19,672,719,276,2
623,0,1268,719,277,1
145,20,672,719,277,2
622,0,1267,719,278,1
142,20,674,719,278,2
623,0,1267,719,279,1
143,20,675,719,279,2
624,0,1267,719,280,1
144,21,675,719,280,2
625,0,1267,719,281,1
142,22,676,719,281,2
625,0,1267,719,282,1
140,24,677,719,282,2
625,0,1269,719,283,1
140,22,679,719,283,2
625,0,1270,719,284,1
140,21,679,719,284,2
625,0,1270,719,285,1
140,22,678,719,285,2
624,0,1270,719,286,1
119,24,659,719,286,2
625,0,1271,719,287,1
109,27,652,719,287,2
626,0,1271,719,288,1
103,28,651,719,288,2
627,0,1271,719,289,1
122,26,672,719,289,2
628,0,1271,719,290,1
126,23,684,719,290,2
629,0,1272,719,291,1
126,20,690,719,291,2
630,0,1273,719,292,1
125,20,692,719,292,2
630,0,1273,719,293,1
124,19,694,719,293,2
629,0,1272,719,294,1
123,20,695,719,294,2
629,0,1273,719,295,1
128,24,690,719,295,2
629,0,1274,719,296,1
130,27,687,719,296,2
628,0,1274,719,297,1
132,29,684,719,297,2
628,0,1274,719,298,1
132,29,683,719,298,2
629,0,1274,719,299,1
133,28,683,719,299,2
631,0,1275,719,300,1
134,27,683,719,300,2
631,0,1275,719,301,1
134,26,682,719,301,2
632,0,1275,719,302,1
134,26,682,719,302,2
632,0,1275,719,303,1
134,25,681,719,303,2
632,0,1276,719,304,1
134,24,681,719,304,2
631,0,1276,719,305,1
115,30,658,719,305,2
631,0,1275,719,306,1
106,33,652,719,306,2
630,0,1274,719,307,1
100,33,653,719,307,2
